5.64,3.23,3.94,6.23,2.05,3.81,2.52,1.18,2.53,8.03,3.22,6.91,23.42,5.71,19.33,20.86,8.61,22.25,23.26,6.83,22.97
4.92,1.89,3.04,6.52,1.72,2.5,2.56,1.02,3.5,7.31,2.13,10.38,25.43,3.69,15.17,19.85,4.65,15.87,23.58,4.66,16.36
5.47,2.18,2.82,6.4,3.09,3.26,2.17,1.26,2.86,8.21,3.06,8.65,20.33,4.87,18.65,18.84,4.83,15.23,17.53,5.94,14.27
5.72,3.42,3.19,6.07,3.19,2.92,2.15,1.81,3.05,8.34,4.62,9.64,28.57,7.31,17.65,27.12,11.77,15.69,22.27,12.19,12.24
7.6,3.1,2.77,6.83,4.83,4.18,3.4,2.64,4.82,9.43,6.03,13.4,25.69,5.56,16.09,20.05,6.08,16.89,21.4,4.73,13.28
5.7,2.46,3.23,6.32,5.14,3.5,2.36,1.39,2.54,8.99,6.87,10.71,25.5,4.13,16.5,20.37,9.3,9.99,27.98,10.88,11.69
4.82,1.44,1.73,5.85,2.07,2.53,1.8,1.47,3.8,7.94,2.72,7.37,20.55,4.6,18.61,18.87,5.17,17.62,21.55,5.17,15.03
5.46,4.51,3.79,4.11,2.45,3.12,2.2,2.87,4.26,5.6,4.78,8.46,19.5,6.81,17.52,16.72,4.34,10.65,15.39,3.48,10.23
5.77,2.92,3.1,6.12,4.14,2.6,2.32,1.75,3.22,10.07,4.84,9.21,23.49,5.47,15.03,20.64,4.61,14.63,18.68,7.62,13.71
5.77,4.56,4.22,7.16,3.43,3.35,3.02,1.81,3.29,9.42,4.62,11.3,27.14,4.61,20.47,21.95,4.15,13.28,23.02,7.62,13.38
5.4,2.33,2.95,6.42,3.28,2.55,2.18,1.56,2.04,8.45,3.55,10.26,23.59,4.4,16.1,18.75,4.27,13.3,20.23,5.87,13.96
4.8,1.52,3.37,5.56,2.24,5.42,2.45,1.47,4.08,9.42,2.36,9.56,20.36,8.09,21.27,18.33,8.89,18.13,19.21,6.43,16.58
7.71,3.15,2.72,8.39,2.87,2.85,3.03,1.58,2.85,11.57,4.88,12.31,23.3,4.99,18.56,14.73,3.35,12.01,18.7,6.05,12.44
7.23,2.67,2.15,7.99,3.73,2.89,3.55,1.59,2.63,10.73,5.18,12.43,27.22,4.67,15.97,22.97,5.36,15.55,22.62,9.11,16.11
6.15,2.72,2.56,6.34,2.76,3.18,2.18,1.36,3.27,8.08,3.28,7.59,21.82,8.54,17.07,18.27,4.74,14.89,22.43,6.33,15.63
7.03,3.3,4.02,7.11,2.19,3.25,2.76,2.17,3.56,10.07,3.49,10.78,26.68,6.8,19.53,19.48,12.12,19.96,23.63,9.51,20.39
4.71,2.33,2.29,5.92,2.59,2.78,2.11,1.35,1.95,8.03,3.71,9.27,27.06,4.23,15.42,18.79,3.26,14.92,24.71,6.78,17.02
3.61,3.32,6.52,3.55,2.27,4.96,3.16,2.07,2.28,3.78,2,12.25,23.64,4.73,16.36,19.11,2.92,12,19.94,5.21,13.41
6.09,3.61,3.66,6.27,3.06,3.18,2.37,2.35,5.48,7.98,2.74,8.89,25.54,10.64,18.48,17.78,4.68,11.68,16.26,4.14,17.36
3.03,4.44,5.09,3.19,1.63,3.68,3.43,2.27,1.75,5.32,4.24,9.89,10.29,4.16,9.95,9.68,3.52,12.77,11.03,4.26,16.32
